Company,Division,Department,CompanyTeam
ABC Corporation,Sales Division,Enterprise Sales,Team Alpha
ABC Corporation,Sales Division,Enterprise Sales,Team Beta
ABC Corporation,Sales Division,SMB Sales,Team Gamma
ABC Corporation,Marketing Division,Digital Marketing,Content Team
ABC Corporation,Marketing Division,Digital Marketing,Social Media Team
ABC Corporation,Marketing Division,Brand Marketing,Creative Team
XYZ Inc,Operations Division,Logistics,Warehouse Team A
XYZ Inc,Operations Division,Logistics,Warehouse Team B
XYZ Inc,Operations Division,Quality Control,QC Team 1
XYZ Inc,HR Division,Recruitment,Talent Acquisition
XYZ Inc,HR Division,Employee Relations,Support Team
